Varius Manx,Poland,,Group,1990,,"['Unknown']"
Warren Suicide,Germany,,Group,,,"['Unknown']"
Melody Club,Sweden,,Group,2000,,"['Unknown']"
Mukeka di rato,Brazil,,Group,1995,,"['Unknown']"
Angels & Airwaves,USA,,Group,2005,,"['Rock','Indie']"
Fangoria,Spain,,Group,1989-10-31,,"['Unknown']"
The Chosen Few,Jamaica,,Group,,,"['Unknown']"
スピッツ,Japan,,Group,1987,,"['Unknown']"
Fantômas,USA,,Group,1998,,"['Rock','Indie']"
Sleeper,United Kingdom,,Group,1993,1998-12-30,"['Rock','Indie']"
Tamta,Georgia,Female,Person,1981-01-10,,"['Unknown']"
Shirley Bassey,Unknown,Female,Person,1937-01-08,,"['Pop','Easy listening','Vocal']"
Faust,Germany,,Group,1969,,"['Rock','Pop','Classic','Progressive']"
Psyclon Nine,Unknown,,Group,2000,2014-03-30,"['Industrial','Metal']"
Kreidler,Germany,,Group,1994,,"['Unknown']"
Susie Hug,Unknown,,Person,,,"['Unknown']"
I Hate You When You're Pregnant,USA,,Person,,,"['Unknown']"
Messer Chups,Russian Federation,,Group,1998,,"['Unknown']"
David Thomas Broughton,United Kingdom,Male,Person,,,"['Unknown']"
Feindflug,Germany,,Group,1995,,"['Unknown']"
Midnight Oil,Australia,,Group,1975,2002-12-02,"['Rock','Pop','Classic']"
Paul Simon,USA,Male,Person,1941-10-13,,"['Classic','Rock','World','Pop','Folk']"
The Saturdays,United Kingdom,,Group,2007,,"['Pop']"
Zombie Girl,Canada,,Group,2006,,"['Unknown']"
Naast,France,,Group,2004,,"['Unknown']"
Aerolíneas Federales,Spain,,Group,1981,1994,"['Unknown']"
Afu‐Ra,USA,Male,Person,1973,,"['Hip hop']"
Showaddywaddy,United Kingdom,,Group,1973,,"['Unknown']"
Reik,Mexico,,Group,2003,,"['Unknown']"
Superjoint Ritual,USA,,Group,1993,2004,"['Unknown']"
The Bay State IV,Unknown,,,,,"['Unknown']"
Pepper,USA,,Group,1997,,"['Unknown']"
Crowbar,USA,,Group,1991,,"['Metal']"
The Wombles,Unknown,,Group,,,"['Unknown']"
Jah Division,Unknown,,Group,2002,,"['Unknown']"
Squeeze,United Kingdom,,Group,1974,,"['Rock','Pop','Classic','Vocal']"
Patrick Doyle,United Kingdom,Male,Person,1953-04-06,,"['Unknown']"
コタニキンヤ,Japan,Male,Person,1979-07-16,,"['Unknown']"
Sweet Action,Unknown,,,,,"['Unknown']"
GLAY,Japan,,Group,1988,,"['Unknown']"
Autumn Tears,USA,,Group,1995-09,,"['Unknown']"
Joe Lean & The Jing Jang Jong,Unknown,,Group,2007,,"['Rock','Indie']"
Jahbitat,Unknown,,,,,"['Unknown']"
Morcheeba,United Kingdom,,Group,1995,,"['Downtempo','Dance','Electro']"
Lime,Canada,,Group,1981,,"['Unknown']"
Keith Jarrett,USA,Male,Person,1945-05-08,,"['Classic','Jazz','Fusion','Blues','Contemporary','Progressive']"
Empty,Australia,,Group,2005,,"['Unknown']"
Maurice Jarre,France,Male,Person,1924-09-13,2009-03-29,"['Easy listening']"
Crippled Black Phoenix,United Kingdom,,Group,2006,,"['Rock','Progressive']"
Henri Salvador,France,Male,Person,1917-07-18,2008-02-13,"['Unknown']"
Joy Denalane,Germany,Female,Person,1973-06-11,,"['Unknown']"
Viva Voce,USA,,Group,1998,,"['Rock','Pop','Classic']"
Pyaemia,Unknown,,,,,"['Unknown']"
André Ethier,Unknown,,Person,,,"['Unknown']"
BBMak,United Kingdom,,Group,1999,2003,"['Unknown']"
佐橋俊彦,Japan,Male,Person,1959-11-12,,"['Unknown']"
Testament,USA,,Group,1983,,"['Rock','Indie','Classic','Metal']"
